"","Flavor","brand","contains_pecans","contains_coffee","contains_walnuts","contains_rum","contains_cream.cheese","contains_brown.sugar","contains_cinnamon","contains_lemon.juice.concentrate","contains_pineapple","contains_marshmallow","contains_cookie.dough","contains_toffee","contains_caramel","contains_vegan","contains_chocolate","contains_peanuts","contains_almonds","contains_strawberries","contains_raspberries","contains_mangos","contains_banana","is_5"
"54","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"55","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"56","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"57","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"58","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"59","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"60","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"61","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"62","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"63","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"64","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"65","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"66","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"67","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"68","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"69","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"70","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"71","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"72","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"73","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"74","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"75","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"76","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"77","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"78","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"79","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"80","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"81","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"82","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"83","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"84","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"85","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"86","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"87","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"88","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"89","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"90","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"91","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"92","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"93","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"94","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"95","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"96","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"97","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"98","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"99","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"100","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"101","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"102","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"103","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"104","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"105","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"106","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"107","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"108","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"109","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"110","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"111","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"112","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"113","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"114","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"115","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"116","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"117","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"118","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"119","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"120","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"121","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"122","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"123","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"124","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"125","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"126","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"127","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"128","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"129","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"130","sweet cream","bj",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
