,Parent Ingredient,count,percent_containing
163,butterfat,2,0.008298755186721992
164,peppermint bark pieces,2,0.008298755186721992
165,,2,0.008298755186721992
166,pineapple,2,0.008298755186721992
167,cream of tartar,2,0.008298755186721992
168,grape juice concentrate,2,0.008298755186721992
169,wine,2,0.008298755186721992
170,pistachio paste,2,0.008298755186721992
171,pistachios and soy ingredients,2,0.008298755186721992
172,vegetable juice concentrate color,2,0.008298755186721992
173,egg,5,0.02074688796680498
174,raisins,2,0.008298755186721992
175,evaporated milk,2,0.008298755186721992
176,caramelized sugar,3,0.012448132780082987
177,chocolaty coated cone pieces,2,0.008298755186721992
178,waffle cone pieces,2,0.008298755186721992
179,milk chocolate and vegetable oil coating,2,0.008298755186721992
180,raspberry swirl,2,0.008298755186721992
181,dextrose,43,0.17842323651452283
182,lemon juice,6,0.024896265560165973
183,mangos,2,0.008298755186721992
184,bananas,2,0.008298755186721992
185,sugar†,5,0.02074688796680498
186,whole eggs,2,0.008298755186721992
187,corn syrup†,3,0.012448132780082987
188,egg and egg yolk,5,0.02074688796680498
189,carob gum,13,0.05394190871369295
190,black raspberries,2,0.008298755186721992
191,soy lecithin natural flavor,2,0.008298755186721992
192,black raspberry puree,3,0.012448132780082987
193,rolled oats,4,0.016597510373443983
194,blueberries,4,0.016597510373443983
195,red cabbage juice concentrate,2,0.008298755186721992
196,dried apples,2,0.008298755186721992
197,coconut,5,0.02074688796680498
198,palm and soybean oils,2,0.008298755186721992
199,enriched flour,4,0.016597510373443983
200,coconut concentrate,3,0.012448132780082987
201,cherry puree,3,0.012448132780082987
202,chocolate processed with alkali,3,0.012448132780082987
203,wheat bran,4,0.016597510373443983
204,egg yolks and egg whites,4,0.016597510373443983
205,wheat germ,4,0.016597510373443983
206,lemon peel,9,0.03734439834024896
207,coconut and soybean and sunflower oils,2,0.008298755186721992
208,desiccated coconut,2,0.008298755186721992
209,egg yolk and egg,3,0.012448132780082987
210,dextrose†,4,0.016597510373443983
211,molasses†,2,0.008298755186721992
212,coffee extract concentrate,2,0.008298755186721992
213,vermouth,3,0.012448132780082987
214,whey,63,0.26141078838174275
215,hazelnuts,2,0.008298755186721992
216,whole wheat graham flour,3,0.012448132780082987
217,palm and palm kernel oil,4,0.016597510373443983
218,red cabbage juice,2,0.008298755186721992
219,whole egg,2,0.008298755186721992
220,mint leaf extractives,3,0.012448132780082987
221,palm oil and soybean oil,4,0.016597510373443983
222,enriched wheat flour,8,0.03319502074688797
223,organic milk,3,0.012448132780082987
224,organic glucose syrup,2,0.008298755186721992
225,organic vanilla extract,4,0.016597510373443983
226,organic cane sugar,5,0.02074688796680498
227,organic skim milk,5,0.02074688796680498
228,organic butter,3,0.012448132780082987
229,organic cream,5,0.02074688796680498
230,organic egg yolks,2,0.008298755186721992
231,organic dextrose,5,0.02074688796680498
232,organic carob bean gum,5,0.02074688796680498
233,organic caramelized sugar,2,0.008298755186721992
234,organic black cocoa processed with alkali,2,0.008298755186721992
235,organic cocoa processed with alkali,2,0.008298755186721992
236,organic chocolate,2,0.008298755186721992
237,organic egg whites and egg yolks,2,0.008298755186721992
238,organic matcha green tea,2,0.008298755186721992
239,organic green tea,2,0.008298755186721992
240,organic ginger,2,0.008298755186721992
241,organic lemon juice concentrate,2,0.008298755186721992
242,oakwood extract,2,0.008298755186721992
243,coconut and soybean oil,2,0.008298755186721992
244,pumpkin,2,0.008298755186721992
245,brown sugar†,2,0.008298755186721992
246,carrot powder,2,0.008298755186721992
247,modified corn starch,2,0.008298755186721992
248,balsamic vinegar,2,0.008298755186721992
249,color added,4,0.016597510373443983
250,raspberries,2,0.008298755186721992
251,whole egg and egg yolk,3,0.012448132780082987
252,egg yolk and whole egg,2,0.008298755186721992
253,hibiscus flower,2,0.008298755186721992
254,lime juice concentrate,2,0.008298755186721992
255,hibiscus powder,2,0.008298755186721992
256,vegetable gum,10,0.04149377593360996
257,vegetable gums,62,0.2572614107883817
258,carob bean,51,0.21161825726141079
259,guar,50,0.2074688796680498
260,tara,25,0.1037344398340249
261,mono and diglycerides,57,0.23651452282157676
262,dutched cocoa,30,0.12448132780082988
263,reb a,5,0.02074688796680498
264,erythritol,5,0.02074688796680498
265,soluble corn fiber,12,0.04979253112033195
266,maltitol,3,0.012448132780082987
267,chocolatey chips,3,0.012448132780082987
268,sucralose,13,0.05394190871369295
269,acesulfame potassium,13,0.05394190871369295
270,maltitol syrup,12,0.04979253112033195
271,glycerin,9,0.03734439834024896
272,polydextrose,9,0.03734439834024896
273,lactase enzyme,4,0.016597510373443983
274,tara gum,6,0.024896265560165973
275,maltodextrin,6,0.024896265560165973
276,unbleached enriched flour,4,0.016597510373443983
277,thiamine mononitrate,7,0.029045643153526972
278,niacin,9,0.03734439834024896
279,baking soda and/or calcium phosphate,3,0.012448132780082987
280,reduced iron,9,0.03734439834024896
281,palm oil and/or canola oil,3,0.012448132780082987
282,oreo cookie pieces,5,0.02074688796680498
283,leavening,5,0.02074688796680498
284,riboflavin,9,0.03734439834024896
285,folic acid,9,0.03734439834024896
286,caramel,10,0.04149377593360996
287,nonfat milk solids,6,0.024896265560165973
288,semi-sweet chocolate chunks,2,0.008298755186721992
289,artificial flavoring,2,0.008298755186721992
290,high fructose corn syrup,10,0.04149377593360996
291,chocolate chip cookies,2,0.008298755186721992
292,soybean lecithin,5,0.02074688796680498
293,unbleached enriched wheat flour,2,0.008298755186721992
294,potassium sorbate,8,0.03319502074688797
295,pgpr,6,0.024896265560165973
296,locust bean,2,0.008298755186721992
297,peaches,3,0.012448132780082987
298,processed vanilla beans,2,0.008298755186721992
299,sorbitol,2,0.008298755186721992
300,beet juice,4,0.016597510373443983
301,pea protein,3,0.012448132780082987
302,almond milk,3,0.012448132780082987
303,cheese cultures,4,0.016597510373443983
304,pasteurized eggs,2,0.008298755186721992
305,raspberry puree concentrate,2,0.008298755186721992
306,pasteurized milk,4,0.016597510373443983
307,reese's peanut butter sauce,3,0.012448132780082987
308,reese's peanut butter cup pieces,3,0.012448132780082987
309,lactose,8,0.03319502074688797
310,tbhq,4,0.016597510373443983
311,fudge swirl,3,0.012448132780082987
312,tbhq and citric acid,4,0.016597510373443983
313,reese's mini pieces,2,0.008298755186721992
314,palm kernel,2,0.008298755186721992
315,soybean,2,0.008298755186721992
316,confectioner's glaze,2,0.008298755186721992
317,yellow 6 lake,3,0.012448132780082987
318,cornstarch,6,0.024896265560165973
319,artificial color,2,0.008298755186721992
320,yellow 5 lake,3,0.012448132780082987
321,red 40 lake,3,0.012448132780082987
322,blue 1 lake,3,0.012448132780082987
323,vanillin,3,0.012448132780082987
324,hydrogenated vegetable oil,2,0.008298755186721992
325,lecithin,2,0.008298755186721992
326,modified cornstarch,2,0.008298755186721992
327,carnauba wax,2,0.008298755186721992
328,caramel swirl,6,0.024896265560165973
329,artificial flavor,4,0.016597510373443983
330,chocolate flavored coating,2,0.008298755186721992
331,chocolatey coated peanuts,2,0.008298755186721992
332,roasted peanuts,2,0.008298755186721992
333,snickers pieces*,3,0.012448132780082987
334,red 40,2,0.008298755186721992
335,blue 1,2,0.008298755186721992
336,artificial flavors,2,0.008298755186721992
337,sodium citrate,5,0.02074688796680498
338,blue 2 lake,2,0.008298755186721992
339,yellow 5,2,0.008298755186721992
